cartodb_id,the_geom,name,id,symbolfld,nrel_id,cooling,nameplate,longitude,fuel,latitude,lakeocean,pca,state
111,0101000020E6100000CDCCCCCCCCC453C0CDCCCCCCCC3C4240,1477,89,Default Symbol,1477,2,2558.2,-79.075,2,36.475,1,p98,NC
112,0101000020E610000066666666667E53C03333333333234140,1478,90,Default Symbol,1478,5,625,-77.975,3,34.275,0,p98,NC
113,0101000020E61000009A999999994154C06666666666964140,1480,91,Default Symbol,1480,2,880,-81.025,2,35.175,0,p97,NC
114,0101000020E610000000000000001854C0CDCCCCCCCCDC4140,1481,92,Default Symbol,1481,4,691.1,-80.375,3,35.725,0,p97,NC
115,0101000020E61000009A999999997154C0CDCCCCCCCC9C4140,1482,93,Default Symbol,1482,2,1480.4,-81.775,2,35.225,0,p97,NC
116,0101000020E61000003333333333EB53C0CDCCCCCCCC3C4240,1483,94,Default Symbol,1483,4,691.1,-79.675,3,36.475,0,p97,NC
117,0101000020E610000000000000003859C00000000000704740,1486,95,Default Symbol,1486,2,115,-100.875,2,46.875,0,p36,ND
118,0101000020E6100000CDCCCCCCCC5459C03333333333A34740,1487,20,Default Symbol,1487,2,216,-101.325,2,47.275,0,p36,ND
119,0101000020E6100000CDCCCCCCCC5459C03333333333A34740,1487,96,Default Symbol,1487,1,440,-101.325,2,47.275,0,p36,ND
120,0101000020E610000066666666664E59C09A99999999894740,1488,97,Default Symbol,1488,2,734,-101.225,2,47.075,1,p36,ND
121,0101000020E610000000000000005859C09A99999999A94740,1489,98,Default Symbol,1489,1,190.2,-101.375,2,47.325,0,p36,ND
122,0101000020E610000033333333332B54C0CDCCCCCCCC1C4440,1490,99,Default Symbol,1490,2,1880.4,-80.675,2,40.225,0,p112,OH
123,0101000020E61000009A999999993155C00000000000904340,1492,21,Default Symbol,1492,2,557.7,-84.775,2,39.125,0,p114,OH
124,0101000020E61000009A999999993155C00000000000904340,1492,100,Default Symbol,1492,1,557.1,-84.775,2,39.125,0,p114,OH
125,0101000020E610000033333333337B54C06666666666164440,1497,101,Default Symbol,1497,2,1729.301,-81.925,2,40.175,0,p112,OH
126,0101000020E61000003333333333EB54C00000000000504340,1500,102,Default Symbol,1500,1,1830.6,-83.675,2,38.625,0,p112,OH
127,0101000020E61000003333333333EB54C00000000000504340,1500,22,Default Symbol,1500,2,610.2,-83.675,2,38.625,0,p112,OH
128,0101000020E610000000000000002854C03333333333434440,1504,103,Default Symbol,1504,1,2455.6,-80.625,2,40.525,0,p112,OH
129,0101000020E610000000000000008854C06666666666764340,1507,104,Default Symbol,1507,1,1086.5,-82.125,2,38.925,0,p112,OH
130,0101000020E61000009A999999992155C06666666666B64340,1510,105,Default Symbol,1510,1,75.6,-84.525,2,39.425,0,p114,OH
131,0101000020E61000009A999999992155C06666666666B64340,1510,23,Default Symbol,1510,1,35,-84.525,5,39.425,0,p114,OH
132,0101000020E61000009A999999997154C09A99999999694440,1511,106,Default Symbol,1511,2,12.5,-81.775,2,40.825,1,p112,OH
133,0101000020E610000066666666664E54C0CDCCCCCCCCDC4440,1512,107,Default Symbol,1512,2,53.5,-81.225,2,41.725,0,p111,OH
134,0101000020E610000033333333334B58C03333333333C34140,1514,24,Default Symbol,1514,2,606,-97.175,5,35.525,0,p50,OK
135,0101000020E610000033333333334B58C03333333333C34140,1514,108,Default Symbol,1514,5,247,-97.175,3,35.525,0,p50,OK
136,0101000020E61000009A99999999D157C03333333333E34140,1515,109,Default Symbol,1515,2,1716,-95.275,2,35.775,0,p51,OK
137,0101000020E610000033333333336B58C0CDCCCCCCCCBC4140,1516,110,Default Symbol,1516,2,531,-97.675,5,35.475,1,p50,OK
138,0101000020E610000066666666662E58C0CDCCCCCCCC7C4140,1517,111,Default Symbol,1517,2,1701,-96.725,5,34.975,1,p50,OK
139,0101000020E6100000CDCCCCCCCC9458C09A99999999894140,1519,112,Default Symbol,1519,2,483,-98.325,5,35.075,0,p50,OK
140,0101000020E61000009A999999990158C00000000000104240,1520,113,Default Symbol,1520,2,340,-96.025,5,36.125,0,p51,OK
141,0101000020E610000066666666668E58C09A99999999894140,1521,25,Default Symbol,1521,2,84.6,-98.225,5,35.075,0,p50,OK
142,0101000020E610000066666666668E58C09A99999999894140,1521,114,Default Symbol,1521,5,315.3,-98.225,3,35.075,0,p50,OK
143,0101000020E61000006666666666CE58C06666666666364240,1522,115,Default Symbol,1522,2,305,-99.225,5,36.425,1,p50,OK
144,0101000020E61000009A999999990154C0CDCCCCCCCC3C4440,1523,116,Default Symbol,1523,5,339.9,-80.025,3,40.475,0,p115,PA
145,0101000020E610000033333333334B53C00000000000F04340,1526,117,Default Symbol,1526,6,898,-77.175,3,39.875,0,p122,PA
146,0101000020E6100000CDCCCCCCCCC452C06666666666764440,1528,118,Default Symbol,1528,1,427,-75.075,2,40.925,0,p122,PA
147,0101000020E61000000000000000C853C00000000000304440,1531,119,Default Symbol,1531,2,1872.002,-79.125,2,40.375,0,p122,PA
148,0101000020E61000003333333333CB53C0CDCCCCCCCC3C4440,1533,120,Default Symbol,1533,2,2012,-79.175,2,40.475,0,p122,PA
149,0101000020E6100000CDCCCCCCCCC453C00000000000304440,1534,121,Default Symbol,1534,2,585,-79.075,2,40.375,0,p122,PA
150,0101000020E61000000000000000D853C00000000000504440,1538,122,Default Symbol,1538,2,1871.996,-79.375,2,40.625,0,p115,PA
151,0101000020E610000000000000001854C06666666666764440,1539,123,Default Symbol,1539,1,348,-80.375,2,40.925,0,p122,PA
152,0101000020E610000033333333332B53C00000000000104440,1541,124,Default Symbol,1541,1,1558.7,-76.675,2,40.125,0,p122,PA
153,0101000020E61000000000000000C852C03333333333634440,1544,125,Default Symbol,1544,2,1701,-75.125,5,40.775,0,p122,PA
154,0101000020E610000000000000002853C0CDCCCCCCCC7C4440,1545,126,Default Symbol,1545,2,1653,-76.625,2,40.975,0,p122,PA
155,0101000020E610000000000000002853C0CDCCCCCCCC7C4440,1545,26,Default Symbol,1545,2,17.2,-76.625,5,40.975,0,p122,PA
156,0101000020E6100000CDCCCCCCCC3453C09A99999999694440,1546,127,Default Symbol,1546,1,437.9,-76.825,2,40.825,0,p122,PA
157,0101000020E6100000CDCCCCCCCCD452C09A99999999E94340,1550,128,Default Symbol,1550,1,782,-75.325,5,39.825,0,p122,PA
158,0101000020E61000000000000000D851C09A99999999E94440,1559,27,Default Symbol,1559,5,171,-71.375,3,41.825,0,p133,RI
159,0101000020E61000000000000000D851C09A99999999E94440,1559,129,Default Symbol,1559,4,344,-71.375,3,41.825,0,p133,RI
160,0101000020E610000033333333330B54C06666666666364140,1561,130,Default Symbol,1561,2,795,-80.175,4,34.425,1,p96,SC
161,0101000020E610000033333333339B54C09A99999999494140,1562,131,Default Symbol,1562,2,175,-82.425,5,34.575,0,p95,SC
162,0101000020E610000033333333337B54C06666666666B64040,1567,28,Default Symbol,1567,4,547.8,-81.925,3,33.425,0,p96,SC
163,0101000020E610000033333333337B54C06666666666B64040,1567,3,Default Symbol,1567,1,100,-81.925,5,33.425,0,p96,SC
164,0101000020E610000033333333337B54C06666666666B64040,1567,132,Default Symbol,1567,1,100,-81.925,2,33.425,0,p96,SC
165,0101000020E610000000000000002854C09A99999999E94040,1568,133,Default Symbol,1568,1,385.9,-80.625,2,33.825,0,p96,SC
166,0101000020E610000000000000002854C09A99999999E94040,1568,29,Default Symbol,1568,2,385.9,-80.625,2,33.825,0,p96,SC
167,0101000020E61000003333333333FB53C03333333333834040,1569,134,Default Symbol,1569,1,632.7,-79.925,2,33.025,0,p96,SC
168,0101000020E610000033333333338B56C09A99999999894140,1573,135,Default Symbol,1573,1,990,-90.175,2,35.075,0,p92,TN
169,0101000020E610000033333333330B55C03333333333034240,1574,136,Default Symbol,1574,1,950,-84.175,2,36.025,0,p92,TN
170,0101000020E61000003333333333EB55C06666666666364240,1575,137,Default Symbol,1575,1,2600,-87.675,2,36.425,0,p92,TN
171,0101000020E610000033333333339B55C09A99999999294240,1576,138,Default Symbol,1576,1,1255.2,-86.425,2,36.325,0,p92,TN
172,0101000020E61000006666666666BE54C00000000000304240,1577,139,Default Symbol,1577,4,996.9,-82.975,3,36.375,0,p92,TN
