,place,lon,lat,cooling,fuel,state,f,c,idc
150,1541,-76.675,40.125,1,2,PA,Coal,ST-OT,3
151,1544,-75.125,40.775,2,5,PA,Oil,ST-RC,3
152,1545,-76.625,40.975,2,2,PA,Coal,ST-RC,3
153,1545,-76.625,40.975,2,5,PA,Oil,ST-RC,3
154,1546,-76.825,40.825,1,2,PA,Coal,ST-OT,0
155,1550,-75.325,39.825,1,5,PA,Oil,ST-OT,3
156,1559,-71.375,41.825,5,3,RI,Gas,CC-RC,0
157,1559,-71.375,41.825,4,3,RI,Gas,CC-OT,0
158,1561,-80.175,34.425,2,4,SC,Nuclear,ST-RC,1
159,1562,-82.425,34.575,2,5,SC,Oil,ST-RC,1
160,1567,-81.925,33.425,4,3,SC,Gas,CC-OT,1
161,1567,-81.925,33.425,1,5,SC,Oil,ST-OT,1
162,1567,-81.925,33.425,1,2,SC,Coal,ST-OT,1
163,1568,-80.625,33.825,1,2,SC,Coal,ST-OT,5
164,1568,-80.625,33.825,2,2,SC,Coal,ST-RC,5
165,1569,-79.925,33.025,1,2,SC,Coal,ST-OT,1
166,1573,-90.175,35.075,1,2,TN,Coal,ST-OT,1
167,1574,-84.175,36.025,1,2,TN,Coal,ST-OT,5
168,1575,-87.675,36.425,1,2,TN,Coal,ST-OT,1
169,1576,-86.425,36.325,1,2,TN,Coal,ST-OT,1
170,1577,-82.975,36.375,4,3,TN,Gas,CC-OT,1
171,1578,-87.975,36.025,1,2,TN,Coal,ST-OT,1
172,1579,-84.525,35.875,1,2,TN,Coal,ST-OT,5
173,1585,-97.375,27.775,5,3,TX,Gas,CC-RC,2
174,1587,-97.025,28.775,5,3,TX,Gas,CC-RC,2
175,1589,-96.575,32.825,2,5,TX,Oil,ST-RC,5
176,1590,-96.925,32.725,2,5,TX,Oil,ST-RC,5
177,1593,-106.425,31.975,5,3,TX,Gas,CC-RC,3
178,1593,-106.425,31.975,2,5,TX,Oil,ST-RC,3
179,1594,-95.525,30.425,2,5,TX,Oil,ST-RC,2
180,1595,-93.875,30.025,2,5,TX,Oil,ST-RC,2
