,nrel_id,cooling,longitude,fuel,latitude,dischargefile
845,74800,5,-82.775,3,38.575,671_1104.tsv
846,74816,5,-113.125,3,33.475,569_497.tsv
848,74825,5,-94.425,3,32.375,547_871.tsv
854,74912,5,-117.325,3,34.575,591_413.tsv
855,74931,5,-85.875,3,32.975,559_1042.tsv
860,74993,5,-92.875,3,34.375,587_902.tsv
864,75023,5,-94.375,3,44.925,798_872.tsv
865,75024,5,-94.325,3,44.875,797_873.tsv
867,75064,5,-78.475,3,42.075,741_1190.tsv
868,75065,5,-76.475,3,43.475,769_1230.tsv
870,75069,5,-78.925,3,42.975,759_1181.tsv
872,75088,5,-117.175,3,33.725,574_416.tsv
873,75123,5,-101.775,3,33.575,571_724.tsv
876,75131,5,-97.975,3,33.125,562_800.tsv
877,75132,5,-84.475,3,33.825,576_1070.tsv
878,75143,5,-84.375,3,42.275,745_1072.tsv
880,75155,5,-81.125,3,32.325,546_1137.tsv
882,75164,5,-121.925,3,37.375,647_321.tsv
883,75179,5,-82.825,3,34.375,587_1103.tsv
889,75260,5,-74.275,3,40.675,713_1274.tsv
891,75304,5,-95.925,3,34.725,594_841.tsv
892,75325,5,-119.575,3,36.575,631_368.tsv
895,75393,5,-89.475,3,35.575,611_970.tsv
897,75441,5,-115.125,3,36.225,624_457.tsv
899,75507,5,-86.725,3,32.375,547_1025.tsv
900,75538,5,-78.725,3,43.175,763_1185.tsv
901,75568,5,-121.975,3,37.425,648_320.tsv
902,75585,5,-71.375,3,42.625,752_1332.tsv
903,75599,5,-75.075,3,40.825,716_1258.tsv
904,75616,5,-107.775,3,32.275,545_604.tsv
907,75666,5,-118.325,3,34.225,584_393.tsv
908,75668,5,-89.175,3,34.825,596_976.tsv
915,75818,5,-112.875,3,33.325,566_502.tsv
917,75820,5,-121.725,3,37.225,644_325.tsv
918,75856,5,-73.125,3,41.225,724_1297.tsv
922,75890,5,-122.975,3,46.125,822_300.tsv
924,75937,5,-117.725,3,35.025,600_405.tsv
926,75977,5,-87.075,3,34.675,593_1018.tsv
930,76096,5,-117.125,3,32.675,553_417.tsv
931,76097,5,-117.175,3,32.675,553_416.tsv
932,76098,5,-117.125,3,32.625,552_417.tsv
936,76160,5,-70.825,3,43.125,762_1343.tsv
937,76169,5,-93.725,3,30.275,505_885.tsv
942,76240,5,-95.675,3,36.425,628_846.tsv
944,76252,5,-118.125,3,33.925,578_397.tsv
945,76269,5,-119.075,3,34.175,583_378.tsv
946,76270,5,-117.675,3,33.975,579_406.tsv
947,76302,5,-102.325,3,31.825,536_713.tsv
949,76321,5,-87.975,3,31.275,525_1000.tsv
950,76339,5,-75.925,3,40.375,707_1241.tsv
951,76368,5,-81.825,3,28.025,460_1123.tsv
952,76374,5,-116.975,3,32.575,551_420.tsv
953,76389,5,-78.875,3,43.025,760_1182.tsv
954,76418,5,-84.825,3,39.075,681_1063.tsv
955,76420,5,-81.725,3,39.575,691_1125.tsv
959,76451,5,-112.675,3,32.975,559_506.tsv
960,76489,5,-118.825,3,34.975,599_383.tsv
961,76499,5,-71.425,3,41.875,737_1331.tsv
970,76642,5,-91.225,3,30.325,506_935.tsv
973,76664,5,-97.025,3,36.675,633_819.tsv
974,76675,5,-93.875,3,29.875,497_882.tsv
977,76702,5,-87.175,3,41.625,732_1016.tsv
983,76798,5,-93.325,3,30.175,503_893.tsv
987,76838,5,-74.375,3,40.425,708_1272.tsv
988,76841,5,-97.225,3,35.675,613_815.tsv
990,76847,5,-112.825,3,33.325,566_503.tsv
992,76885,5,-79.925,3,34.825,596_1161.tsv
997,76912,5,-122.725,3,45.625,812_305.tsv
999,76922,5,-89.025,3,42.575,751_979.tsv
1000,76973,5,-104.625,3,40.075,701_667.tsv
1001,76989,5,-114.675,3,32.725,554_466.tsv
1002,76997,5,-76.525,3,40.025,700_1229.tsv
1007,77045,5,-121.025,3,37.625,652_339.tsv
1009,77057,5,-97.925,3,33.075,561_801.tsv
1013,77105,5,-90.575,3,34.175,583_948.tsv
1022,77269,5,-81.675,3,39.575,691_1126.tsv
1023,77295,5,-85.025,3,33.375,567_1059.tsv
1024,77296,5,-85.075,3,33.325,566_1058.tsv
1031,77489,5,-92.525,3,33.325,566_909.tsv
1035,77569,5,-73.575,3,40.725,714_1288.tsv
1037,77580,5,-121.525,3,37.675,653_329.tsv
1039,77622,5,-81.825,3,27.725,454_1123.tsv
1041,77648,5,-88.175,3,30.475,509_996.tsv
1042,77670,5,-78.425,3,37.725,654_1191.tsv
1043,77674,5,-94.175,3,32.125,542_876.tsv
1044,77675,5,-86.775,3,32.325,546_1024.tsv
1046,77709,5,-90.425,3,29.975,499_951.tsv
1053,77879,5,-90.175,3,36.575,631_956.tsv
1054,77934,5,-90.025,3,34.975,599_959.tsv
1059,78045,5,-78.075,3,42.625,752_1198.tsv
1061,78060,5,-97.525,3,25.875,417_809.tsv
1066,78177,5,-87.125,3,30.575,511_1017.tsv
1069,78230,5,-96.575,3,40.875,717_828.tsv
1072,78306,5,-113.625,3,42.575,751_487.tsv
1073,78314,5,-80.525,3,35.775,615_1149.tsv
1074,385508,5,-79.775,3,40.575,711_1164.tsv
1075,385530,5,-121.525,3,38.425,668_329.tsv
1078,404924,5,-73.775,3,42.575,751_1284.tsv
1079,405319,5,-122.075,3,37.625,652_318.tsv
1080,587518,5,-93.325,3,44.325,786_893.tsv
1081,587560,5,-121.975,3,37.375,647_320.tsv
1082,587567,5,-118.175,3,33.975,579_396.tsv
1083,587571,5,-123.125,3,46.175,823_297.tsv
1084,587613,5,-96.825,3,40.325,706_823.tsv
1085,587650,5,-93.325,3,43.125,762_893.tsv
1086,587651,5,-89.625,3,41.825,736_967.tsv
1087,587704,5,-120.925,3,37.475,649_341.tsv
1089,587756,5,-73.725,3,42.675,753_1285.tsv
1090,587788,5,-95.425,3,28.975,479_851.tsv
1091,587800,5,-89.425,3,43.075,761_971.tsv
1092,587835,5,-117.625,3,33.875,577_407.tsv
1093,587898,5,-94.725,3,29.325,486_865.tsv
1094,587938,5,-88.175,3,44.325,786_996.tsv
1097,587994,5,-108.225,3,36.675,633_595.tsv
1098,587996,5,-89.725,3,35.875,617_965.tsv
1099,588007,5,-81.175,3,32.425,548_1136.tsv
