years,place,lat,lon,cooling
,2110,32.975,-102.775,5
,2111,44.825,-68.725,5
,2112,34.225,-91.875,5
,2113,33.375,-89.275,2
,2114,35.775,-114.975,6
,2115,42.025,-71.975,5
,2117,38.025,-122.175,5
,2118,27.875,-97.275,5
,2119,42.825,-85.975,5
,2120,42.275,-83.125,5
,2121,32.425,-97.075,6
,2122,33.625,-95.575,5
,2123,26.175,-98.375,5
,2127,42.175,-121.825,5
,2128,30.025,-93.725,5
,2133,29.975,-93.775,5
,2135,26.325,-98.225,5
,2136,35.075,-114.125,5
,2138,32.925,-111.825,5
,2139,41.375,-88.225,5
,2140,29.525,-97.875,5
,2142,29.775,-97.975,6
,2143,36.025,-95.925,5
,2145,41.875,-71.925,6
,2147,35.275,-119.575,5
,2148,29.525,-97.925,5
,2149,30.175,-97.275,5
,2152,31.825,-97.325,5
,2153,30.425,-92.425,5
,2154,34.825,-114.575,5
,2155,38.775,-94.275,5
,2156,47.775,-116.925,5
,2158,35.225,-119.575,5
,2159,29.825,-95.075,5
,2160,41.725,-90.275,5
,2166,27.825,-97.425,5
,2167,40.225,-103.625,5
,2168,42.075,-71.525,6
,2169,41.425,-88.325,5
,2170,38.075,-121.875,5
,2171,32.375,-90.225,5
,2173,33.025,-89.875,5
,2174,34.575,-92.175,5
,2176,32.325,-96.675,5
,2178,36.025,-95.725,5
,2179,31.875,-96.125,5
,2187,30.775,-88.025,5
,2193,41.725,-87.475,5
,2200,34.625,-87.025,5
,2201,43.675,-70.375,5
,2203,29.725,-95.175,5
,2207,27.875,-97.225,5
,2210,39.875,-75.325,5
,2211,45.925,-119.325,5
,2212,38.075,-121.825,5
,2213,39.225,-88.825,5
,2214,39.375,-87.525,5
,2220,34.275,-92.925,5
,2222,35.275,-97.575,5
,2223,32.825,-92.075,5
,2228,26.325,-98.175,5
,2229,32.725,-92.025,5
,2238,42.025,-71.575,5
,2239,42.075,-71.625,5
,2240,30.975,-87.975,5
,2240,30.975,-87.975,1
,2241,27.625,-81.925,5
,2242,33.975,-85.975,1
,2242,33.975,-85.975,1
,2243,33.625,-87.175,1
,2243,33.625,-87.175,2
,2244,32.575,-87.775,1
,2245,33.225,-86.475,1
,2245,33.225,-86.475,2
,2245,33.225,-86.475,1
,2246,34.775,-87.825,1
,2248,32.025,-93.575,2
,2250,31.475,-87.925,1
,2250,31.475,-87.925,2
,2251,40.825,-98.375,2
,2252,40.575,-98.325,2
,2253,35.425,-108.075,2
,2257,29.825,-91.525,1
,2260,30.225,-97.625,5
,2261,37.975,-100.975,2
,2262,34.925,-110.275,2
,2263,33.425,-111.925,2
,2264,33.425,-112.175,5
,2266,32.725,-114.725,2
,2267,32.175,-110.925,2
,2267,32.175,-110.925,2
,2268,34.075,-99.175,2
,2269,33.375,-80.125,2
,2270,29.775,-81.575,2
,2271,33.575,-112.225,2
,2272,33.375,-111.925,2
,2272,33.375,-111.925,5
,2273,32.075,-109.875,2
,2273,32.075,-109.875,5
,2274,36.175,-95.275,2
,2275,34.725,-92.175,2
,2277,33.375,-93.475,2
,2278,34.425,-92.925,1
,2281,30.375,-81.525,2
,2289,31.425,-96.275,2
,2298,34.075,-117.525,2
,2305,34.075,-117.275,5
,2306,34.125,-118.275,5
,2307,41.475,-88.175,2
,2308,32.775,-115.525,2
,2308,32.775,-115.525,5
,2312,34.125,-118.175,2
,2315,39.825,-104.925,2
,2315,39.825,-104.925,5
,2316,38.275,-104.575,2
,2317,40.025,-105.225,2
,2318,39.725,-105.025,2
,2319,38.825,-104.825,2
,2320,38.875,-104.825,2
,2321,40.525,-107.175,2
,2322,38.225,-108.525,2
,2325,41.425,-72.075,1
,2327,41.525,-72.575,1
,2327,41.525,-72.575,2
,2328,28.475,-81.175,5
,2328,28.475,-81.175,2
,2330,44.475,-73.175,2
,2332,39.625,-75.575,1
,2333,38.575,-75.225,2
,2334,39.175,-75.525,2
,2335,39.175,-76.475,2
,2340,26.675,-81.825,4
,2341,26.075,-80.225,5
,2344,28.825,-81.325,5
,2345,25.425,-80.325,2
,2345,25.425,-80.325,5
,2345,25.425,-80.325,2
,2346,28.925,-82.725,2
,2350,30.375,-83.175,1
,2351,30.575,-87.225,2
,2351,30.575,-87.225,1
,2353,30.275,-85.675,5
,2358,29.775,-82.425,2
,2358,29.775,-82.425,2
,2359,29.675,-82.325,5
,2361,30.375,-81.425,1
,2361,30.375,-81.425,1
,2363,26.625,-80.075,5
,2364,28.025,-81.925,5
,2365,28.075,-81.925,2
,2365,28.075,-81.925,5
,2365,28.075,-81.925,2
,2367,30.475,-84.425,2
,2367,30.475,-84.425,5
,2368,30.125,-84.225,4
,2371,34.175,-84.925,2
,2372,34.225,-85.375,2
,2372,34.225,-85.375,1
,2375,31.425,-84.175,1
,2376,33.475,-84.875,2
,2376,33.475,-84.875,2
,2378,41.525,-90.475,1
,2382,40.575,-89.675,1
,2383,39.075,-89.425,2
,2384,37.675,-89.525,4
,2390,41.525,-88.125,1
,2391,39.625,-89.425,2
,2393,40.575,-89.725,2
,2396,41.625,-88.075,1
,2398,37.225,-88.875,1
,2399,38.225,-89.875,2
,2400,40.275,-90.125,2
,2401,41.275,-89.325,1
,2405,38.825,-90.125,1
,2407,39.725,-89.575,2
,2409,37.625,-88.975,2
,2411,38.725,-85.425,1
