,place,lon,lat,cooling,fuel,state,f,c,idc
1014,77141,-76.175,40.775,2,2,PA,Coal,ST-RC,3
1016,77148,-76.375,40.625,2,2,PA,Coal,ST-RC,3
1017,77218,-97.425,37.275,2,5,KS,Oil,ST-RC,3
1020,77269,-81.675,39.575,5,3,OH,Gas,CC-RC,3
1033,77569,-73.575,40.725,5,3,NY,Gas,CC-RC,3
1036,77581,-121.525,37.725,2,1,CA,Bio-power,ST-RC,3
1038,77627,-76.725,40.175,2,4,PA,Nuclear,ST-RC,3
1045,77747,-76.125,41.075,2,4,PA,Nuclear,ST-RC,3
1050,77860,-76.175,40.825,2,2,PA,Coal,ST-RC,3
1060,78103,-122.175,40.425,2,1,CA,Bio-power,ST-RC,3
1062,78151,-75.175,39.975,2,5,PA,Oil,ST-RC,3
1063,78169,-84.275,41.525,2,1,OH,Bio-power,ST-RC,3
1068,78246,-75.525,39.425,2,4,NJ,Nuclear,ST-RC,3
1072,385508,-79.775,40.575,5,3,PA,Gas,CC-RC,3
1073,385530,-121.525,38.425,5,3,CA,Gas,CC-RC,3
1079,587560,-121.975,37.375,5,3,CA,Gas,CC-RC,3
1085,587704,-120.925,37.475,5,3,CA,Gas,CC-RC,3
1090,587835,-117.625,33.875,5,3,CA,Gas,CC-RC,3
1098,588008,-120.925,38.275,2,1,CA,Bio-power,ST-RC,3
1100,588046,-79.925,39.725,2,2,WV,Coal,ST-RC,3
1113,608012,-74.325,40.525,5,1,NJ,Bio-power,CC-RC,3
1119,626314,-73.475,40.725,5,3,NY,Gas,CC-RC,3
1121,632045,-73.375,40.725,5,3,NY,Gas,CC-RC,3
1122,632047,-72.925,40.825,5,3,NY,Gas,CC-RC,3
1123,632209,-121.375,38.775,5,3,CA,Gas,CC-RC,3
1125,676259,-82.875,38.625,1,5,OH,Oil,ST-OT,3
1126,732864,-119.525,36.675,5,3,CA,Gas,CC-RC,3
1138,850144,-71.925,41.725,2,1,CT,Bio-power,ST-RC,3
1139,856045,-122.175,39.375,5,3,CA,Gas,CC-RC,3
1146,884383,-121.775,38.075,5,3,CA,Gas,CC-RC,3
1148,891963,-121.525,38.075,5,3,CA,Gas,CC-RC,3
1149,911906,-120.475,37.175,2,1,CA,Bio-power,ST-RC,3
1151,913505,-83.425,41.725,2,5,OH,Oil,ST-RC,3
1154,1124417,-75.225,39.875,5,3,NJ,Gas,CC-RC,3
1155,1127605,-94.575,39.125,2,2,MO,Coal,ST-RC,3
1160,1161596,-120.275,37.125,2,1,CA,Bio-power,ST-RC,3
1168,1502940,-74.125,40.675,5,3,NJ,Gas,CC-RC,3
1169,1503622,-74.425,40.475,5,3,NJ,Gas,CC-RC,3
1174,1648419,-75.425,39.075,5,3,DE,Gas,CC-RC,3
