,place,lon,lat,cooling,fuel,state,f,c,idc
774,73716,-90.175,41.825,2,2,IA,Coal,ST-RC,1
776,73720,-123.325,42.925,2,1,OR,Bio-power,ST-RC,1
783,73776,-88.275,44.275,5,3,WI,Gas,CC-RC,1
786,73854,-86.275,42.325,5,3,MI,Gas,CC-RC,1
788,73863,-119.725,45.875,5,3,OR,Gas,CC-RC,1
792,73939,-71.025,41.675,5,3,MA,Gas,CC-RC,1
793,73944,-83.075,41.575,2,4,OH,Nuclear,ST-RC,1
796,73974,-119.225,35.725,2,1,CA,Bio-power,ST-RC,1
798,74066,-81.475,40.525,1,5,OH,Oil,ST-OT,1
799,74066,-81.475,40.525,1,2,OH,Coal,ST-OT,1
800,74075,-88.275,41.375,2,4,IL,Nuclear,ST-RC,1
802,74091,-91.775,42.125,2,4,IA,Nuclear,ST-RC,1
808,74169,-78.775,40.475,2,2,PA,Coal,ST-RC,1
814,74293,-71.475,41.775,5,3,RI,Gas,CC-RC,1
819,74349,-83.175,41.975,2,4,MI,Nuclear,ST-RC,1
821,74408,-70.925,42.275,5,3,MA,Gas,CC-RC,1
824,74428,-73.775,42.525,5,3,NY,Gas,CC-RC,1
826,74474,-83.125,41.325,5,3,OH,Gas,CC-RC,1
827,74475,-91.275,43.825,2,1,WI,Bio-power,ST-RC,1
828,74479,-120.125,36.575,5,3,CA,Gas,CC-RC,1
831,74509,-83.275,42.675,2,2,MI,Coal,ST-RC,1
833,74573,-83.675,43.075,2,1,MI,Bio-power,ST-RC,1
835,74630,-117.075,33.125,5,3,CA,Gas,CC-RC,1
841,74708,-93.525,41.575,5,3,IA,Gas,CC-RC,1
848,74871,-87.425,41.675,2,5,IN,Oil,ST-RC,1
853,74912,-117.325,34.575,5,3,CA,Gas,CC-RC,1
862,75016,-76.075,41.225,4,3,PA,Gas,CC-OT,1
863,75023,-94.375,44.925,5,3,MN,Gas,CC-RC,1
864,75024,-94.325,44.875,5,3,MN,Gas,CC-RC,1
867,75065,-76.475,43.475,5,3,NY,Gas,CC-RC,1
869,75069,-78.925,42.975,5,3,NY,Gas,CC-RC,1
870,75075,-73.975,41.275,1,4,NY,Nuclear,ST-OT,1
877,75143,-84.375,42.275,5,3,MI,Gas,CC-RC,1
878,75148,-76.375,43.525,2,4,NY,Nuclear,ST-RC,1
883,75180,-76.225,40.775,2,2,PA,Coal,ST-RC,1
892,75345,-75.975,40.875,2,2,PA,Coal,ST-RC,1
893,75378,-88.675,41.325,2,4,IL,Nuclear,ST-RC,1
895,75426,-102.625,38.125,2,2,CO,Coal,ST-RC,1
899,75538,-78.725,43.175,5,3,NY,Gas,CC-RC,1
901,75585,-71.375,42.625,5,3,MA,Gas,CC-RC,1
902,75599,-75.075,40.825,5,3,PA,Gas,CC-RC,1
903,75616,-107.775,32.275,5,3,NM,Gas,CC-RC,1
904,75628,-75.325,43.625,2,1,NY,Bio-power,ST-RC,1
906,75666,-118.325,34.225,5,3,CA,Gas,CC-RC,1
913,75796,-120.375,36.775,2,1,CA,Bio-power,ST-RC,1
916,75820,-121.725,37.225,5,3,CA,Gas,CC-RC,1
917,75856,-73.125,41.225,5,3,CT,Gas,CC-RC,1
918,75877,-87.975,43.025,2,2,WI,Coal,ST-RC,1
921,75890,-122.975,46.125,5,3,WA,Gas,CC-RC,1
926,75997,-76.425,40.825,2,2,PA,Coal,ST-RC,1
935,76160,-70.825,43.125,5,3,NH,Gas,CC-RC,1
937,76186,-76.425,43.525,2,4,NY,Nuclear,ST-RC,1
942,76243,-75.475,40.675,2,2,PA,Coal,ST-RC,1
949,76339,-75.925,40.375,5,3,PA,Gas,CC-RC,1
952,76389,-78.875,43.025,5,3,NY,Gas,CC-RC,1
955,76426,-121.575,39.475,2,1,CA,Bio-power,ST-RC,1
956,76440,-86.325,42.325,2,4,MI,Nuclear,ST-RC,1
957,76444,-112.825,33.375,2,4,AZ,Nuclear,ST-RC,1
960,76499,-71.425,41.875,5,3,RI,Gas,CC-RC,1
961,76541,-81.125,41.825,2,4,OH,Nuclear,ST-RC,1
964,76598,-71.875,42.575,2,1,MA,Bio-power,ST-RC,1
966,76600,-71.175,43.775,2,1,NH,Bio-power,ST-RC,1
975,76702,-87.175,41.625,5,3,IN,Gas,CC-RC,1
976,76730,-92.625,44.625,1,4,MN,Nuclear,ST-OT,1
978,76734,-98.725,37.625,2,5,KS,Oil,ST-RC,1
979,76780,-90.325,41.725,1,4,IL,Nuclear,ST-OT,1
993,76901,-119.075,35.775,2,2,CA,Coal,ST-RC,1
994,76903,-121.325,38.825,2,1,CA,Bio-power,ST-RC,1
995,76912,-122.725,45.625,5,3,WA,Gas,CC-RC,1
997,76922,-89.025,42.575,5,3,WI,Gas,CC-RC,1
1004,77043,-121.725,38.725,2,1,CA,Bio-power,ST-RC,1
1014,77141,-76.175,40.775,2,2,PA,Coal,ST-RC,1
1016,77148,-76.375,40.625,2,2,PA,Coal,ST-RC,1
1025,77331,-119.275,46.475,2,4,WA,Nuclear,ST-RC,1
1030,77503,-120.475,37.875,2,1,CA,Bio-power,ST-RC,1
1035,77580,-121.525,37.675,5,3,CA,Gas,CC-RC,1
1045,77747,-76.125,41.075,2,4,PA,Nuclear,ST-RC,1
1050,77860,-76.175,40.825,2,2,PA,Coal,ST-RC,1
1057,78045,-78.075,42.625,5,3,NY,Gas,CC-RC,1
1063,78169,-84.275,41.525,2,1,OH,Bio-power,ST-RC,1
1072,385508,-79.775,40.575,5,3,PA,Gas,CC-RC,1
1076,404924,-73.775,42.575,5,3,NY,Gas,CC-RC,1
1078,587518,-93.325,44.325,5,3,MN,Gas,CC-RC,1
1083,587650,-93.325,43.125,5,3,IA,Gas,CC-RC,1
1084,587651,-89.625,41.825,5,3,IL,Gas,CC-RC,1
1086,587724,-93.525,44.825,2,1,MN,Bio-power,ST-RC,1
1087,587756,-73.725,42.675,5,3,NY,Gas,CC-RC,1
1089,587800,-89.425,43.075,5,3,WI,Gas,CC-RC,1
1092,587938,-88.175,44.325,5,3,WI,Gas,CC-RC,1
1094,587988,-107.575,45.775,2,2,MT,Coal,ST-RC,1
1095,587994,-108.225,36.675,5,3,NM,Gas,CC-RC,1
1099,588012,-111.725,40.075,5,3,UT,Gas,CC-RC,1
1104,588165,-72.625,41.575,5,3,CT,Gas,CC-RC,1
1106,593927,-80.825,41.925,5,3,OH,Gas,CC-RC,1
1110,607160,-117.125,33.125,5,3,CA,Gas,CC-RC,1
1114,609597,-93.175,44.925,2,1,MN,Bio-power,ST-RC,1
1116,613326,-94.025,44.175,5,3,MN,Gas,CC-RC,1
1119,626314,-73.475,40.725,5,3,NY,Gas,CC-RC,1
1121,632045,-73.375,40.725,5,3,NY,Gas,CC-RC,1
1122,632047,-72.925,40.825,5,3,NY,Gas,CC-RC,1
1124,650972,-87.875,42.875,2,2,WI,Coal,ST-RC,1
1138,850144,-71.925,41.725,2,1,CT,Bio-power,ST-RC,1
1151,913505,-83.425,41.725,2,5,OH,Oil,ST-RC,1
1161,1168279,-116.975,43.925,5,3,ID,Gas,CC-RC,1
1165,1196724,-104.525,38.325,5,3,CO,Gas,CC-RC,1
1167,1358974,-97.275,41.375,2,2,NE,Coal,ST-RC,1
1176,1680849,-87.475,41.675,2,5,IN,Oil,ST-RC,1
1178,1995460,-84.525,42.675,5,3,MI,Gas,CC-RC,1
